epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,5647.77,0.75749,0.40152,0.8812,0.88123,0.81039,0.85173,0.70564,0.72964,0.59325,0.89536,0.006568,0.006568,0.006568
106,5701.48,0.75658,0.402,0.88242,0.86818,0.81133,0.84832,0.70217,0.73041,0.59764,0.89559,0.006535,0.006535,0.006535
107,5755.04,0.75833,0.40242,0.87977,0.88499,0.8127,0.85184,0.70744,0.72937,0.58852,0.895,0.006502,0.006502,0.006502
108,5808.82,0.76443,0.40172,0.88159,0.88437,0.81001,0.85229,0.70699,0.7305,0.58554,0.89582,0.006469,0.006469,0.006469
109,5862.43,0.75147,0.39657,0.87776,0.88835,0.80584,0.8503,0.70539,0.73264,0.59194,0.89522,0.006436,0.006436,0.006436
110,5916.02,0.75487,0.39652,0.8788,0.88165,0.80804,0.85148,0.70785,0.73145,0.5842,0.897,0.006403,0.006403,0.006403
111,5969.62,0.75198,0.39804,0.87966,0.86435,0.81953,0.85483,0.70868,0.73029,0.5828,0.89634,0.00637,0.00637,0.00637
112,6023.25,0.74697,0.39454,0.87637,0.87841,0.8135,0.8528,0.70792,0.72931,0.58104,0.89598,0.006337,0.006337,0.006337
113,6076.68,0.74582,0.39411,0.87707,0.8912,0.80516,0.85304,0.71037,0.72925,0.58023,0.89523,0.006304,0.006304,0.006304
114,6130.33,0.74628,0.39419,0.87531,0.87729,0.81756,0.85231,0.70943,0.72812,0.58515,0.89588,0.006271,0.006271,0.006271
115,6183.7,0.74174,0.39155,0.87639,0.88352,0.81039,0.85152,0.70963,0.72762,0.59048,0.89627,0.006238,0.006238,0.006238
116,6237.33,0.74733,0.39471,0.87626,0.88172,0.80588,0.85081,0.70704,0.72892,0.58864,0.89677,0.006205,0.006205,0.006205
117,6291.03,0.74861,0.3921,0.87815,0.87615,0.81695,0.85091,0.70718,0.72958,0.58782,0.89632,0.006172,0.006172,0.006172
118,6344.26,0.74309,0.39146,0.87929,0.88691,0.80463,0.85181,0.70582,0.72953,0.58396,0.89669,0.006139,0.006139,0.006139
119,6397.66,0.74502,0.39269,0.87795,0.88099,0.81339,0.85421,0.70801,0.72622,0.58255,0.89616,0.006106,0.006106,0.006106
120,6451.43,0.7385,0.38745,0.87802,0.87443,0.81876,0.85229,0.70751,0.72373,0.58763,0.89618,0.006073,0.006073,0.006073
121,6505.04,0.74579,0.39261,0.87652,0.8847,0.81444,0.85245,0.70485,0.72163,0.58393,0.89438,0.00604,0.00604,0.00604
122,6558.53,0.73746,0.38773,0.87457,0.87976,0.81759,0.85196,0.70673,0.72586,0.58724,0.89585,0.006007,0.006007,0.006007
123,6612.11,0.73682,0.38711,0.87423,0.8715,0.81588,0.84935,0.70767,0.72154,0.58323,0.89365,0.005974,0.005974,0.005974
124,6665.78,0.73803,0.38725,0.87529,0.87585,0.81928,0.84879,0.70582,0.72176,0.58676,0.89417,0.005941,0.005941,0.005941
125,6719.71,0.74448,0.39052,0.87327,0.88812,0.80871,0.84951,0.70657,0.72458,0.58505,0.89449,0.005908,0.005908,0.005908
126,6773.43,0.735,0.38643,0.87391,0.88351,0.8125,0.85056,0.70689,0.72599,0.59029,0.8949,0.005875,0.005875,0.005875
127,6826.95,0.73193,0.38335,0.87431,0.88582,0.8132,0.85403,0.7087,0.72421,0.5894,0.89319,0.005842,0.005842,0.005842
128,6880.71,0.74075,0.38683,0.8728,0.88896,0.80916,0.85388,0.70802,0.72331,0.58656,0.89348,0.005809,0.005809,0.005809
129,6934.51,0.73324,0.38487,0.87402,0.87812,0.81639,0.85415,0.7101,0.72271,0.58252,0.89435,0.005776,0.005776,0.005776
130,6987.96,0.73235,0.38366,0.87273,0.87814,0.81833,0.8539,0.7094,0.72264,0.58114,0.8949,0.005743,0.005743,0.005743
131,7041.87,0.72407,0.38048,0.86917,0.88252,0.81001,0.85389,0.70761,0.72698,0.58266,0.89765,0.00571,0.00571,0.00571
132,7095.76,0.73659,0.38518,0.87378,0.87302,0.81468,0.85213,0.70867,0.72548,0.58425,0.8968,0.005677,0.005677,0.005677
133,7149.4,0.72544,0.37994,0.87074,0.88927,0.80243,0.85428,0.71095,0.72443,0.5821,0.89602,0.005644,0.005644,0.005644
134,7203.11,0.71954,0.37759,0.87105,0.88155,0.81938,0.85281,0.71029,0.7216,0.58424,0.89447,0.005611,0.005611,0.005611
135,7256.86,0.72472,0.38045,0.87083,0.88096,0.81776,0.85392,0.71203,0.72237,0.58391,0.89555,0.005578,0.005578,0.005578
136,7310.23,0.7192,0.37812,0.87267,0.89644,0.80758,0.85318,0.71137,0.72282,0.58417,0.89681,0.005545,0.005545,0.005545
137,7363.98,0.72149,0.37856,0.87182,0.88839,0.8059,0.85162,0.71072,0.72389,0.5846,0.89801,0.005512,0.005512,0.005512
138,7417.46,0.72643,0.37851,0.87396,0.88096,0.81126,0.85482,0.71292,0.72398,0.58354,0.89629,0.005479,0.005479,0.005479
139,7471.19,0.72,0.37565,0.8743,0.88957,0.80437,0.85395,0.70993,0.72566,0.58361,0.89613,0.005446,0.005446,0.005446
140,7524.6,0.71892,0.37622,0.87142,0.8875,0.80393,0.85268,0.71105,0.72337,0.58447,0.89403,0.005413,0.005413,0.005413
141,7577.93,0.71604,0.37431,0.86835,0.8779,0.81066,0.85108,0.71107,0.72139,0.58447,0.89342,0.00538,0.00538,0.00538
142,7631.65,0.71912,0.37663,0.87003,0.8844,0.80782,0.85098,0.70975,0.72332,0.58431,0.89604,0.005347,0.005347,0.005347
143,7685.35,0.72534,0.37858,0.8694,0.87521,0.81592,0.85265,0.71205,0.72386,0.58313,0.89796,0.005314,0.005314,0.005314
144,7738.84,0.7164,0.37547,0.87203,0.89729,0.79853,0.85369,0.71272,0.72212,0.5803,0.89572,0.005281,0.005281,0.005281
145,7792.49,0.72155,0.37585,0.86901,0.8781,0.81704,0.85434,0.7117,0.72001,0.57985,0.89531,0.005248,0.005248,0.005248
146,7845.72,0.71452,0.37215,0.86711,0.88929,0.81628,0.85575,0.71241,0.71864,0.58119,0.8946,0.005215,0.005215,0.005215
147,7899.3,0.70726,0.36993,0.86823,0.88877,0.80707,0.85649,0.71281,0.71906,0.58231,0.8948,0.005182,0.005182,0.005182
148,7952.94,0.71222,0.37109,0.86754,0.87782,0.8166,0.85687,0.71246,0.71877,0.58115,0.89368,0.005149,0.005149,0.005149
149,8006.55,0.7138,0.37283,0.869,0.89041,0.8058,0.85728,0.71317,0.71756,0.5818,0.89461,0.005116,0.005116,0.005116
150,8060.27,0.72157,0.37601,0.86758,0.8804,0.81607,0.85592,0.71298,0.71835,0.57776,0.8947,0.005083,0.005083,0.005083
151,8113.84,0.70837,0.36987,0.86992,0.86994,0.82203,0.8544,0.7117,0.72024,0.57968,0.89494,0.00505,0.00505,0.00505
152,8167.64,0.70767,0.36916,0.86571,0.88395,0.81623,0.85502,0.71391,0.72122,0.58124,0.89613,0.005017,0.005017,0.005017
153,8221.13,0.70574,0.3676,0.86668,0.88885,0.81091,0.85398,0.71202,0.72018,0.5796,0.89489,0.004984,0.004984,0.004984
154,8274.77,0.71591,0.3721,0.86771,0.88203,0.82017,0.85483,0.71307,0.72068,0.58333,0.89597,0.004951,0.004951,0.004951
155,8328.34,0.706,0.36903,0.86759,0.87525,0.82775,0.8544,0.7128,0.72025,0.58455,0.89504,0.004918,0.004918,0.004918
156,8381.82,0.70285,0.36862,0.86664,0.87995,0.8213,0.85367,0.71367,0.71827,0.58528,0.89309,0.004885,0.004885,0.004885
157,8435.63,0.70913,0.37046,0.86946,0.87371,0.82559,0.854,0.71448,0.71692,0.58685,0.89233,0.004852,0.004852,0.004852
158,8489.2,0.70601,0.3675,0.86507,0.87788,0.82308,0.85457,0.71505,0.71646,0.58537,0.89334,0.004819,0.004819,0.004819
159,8542.59,0.70222,0.36498,0.86603,0.86942,0.83232,0.85522,0.71581,0.71497,0.58243,0.89352,0.004786,0.004786,0.004786
160,8596.09,0.70381,0.36624,0.86738,0.87253,0.82792,0.85463,0.71311,0.71582,0.5824,0.89344,0.004753,0.004753,0.004753
161,8649.71,0.70007,0.36425,0.86622,0.88037,0.82077,0.85407,0.71271,0.71583,0.58202,0.89353,0.00472,0.00472,0.00472
162,8703.19,0.69553,0.36436,0.86469,0.87569,0.82577,0.85482,0.71348,0.71619,0.58036,0.8931,0.004687,0.004687,0.004687
163,8756.92,0.70426,0.36684,0.86854,0.87177,0.82247,0.85458,0.71345,0.71748,0.5806,0.89392,0.004654,0.004654,0.004654
164,8810.53,0.69975,0.3638,0.86486,0.87435,0.82307,0.85363,0.71325,0.71688,0.57921,0.8937,0.004621,0.004621,0.004621
165,8864.1,0.7011,0.36277,0.86423,0.89902,0.80333,0.85363,0.71371,0.7173,0.58083,0.89317,0.004588,0.004588,0.004588
166,8917.67,0.6993,0.36287,0.8646,0.88279,0.81157,0.85301,0.71363,0.71857,0.58347,0.89404,0.004555,0.004555,0.004555
167,8971.37,0.6938,0.36022,0.86365,0.87325,0.82375,0.85358,0.71435,0.71785,0.58162,0.89442,0.004522,0.004522,0.004522
168,9024.69,0.69652,0.36195,0.86166,0.87244,0.82501,0.85375,0.71445,0.71881,0.5812,0.89474,0.004489,0.004489,0.004489
169,9078.28,0.69205,0.35878,0.8631,0.8738,0.82124,0.85242,0.71319,0.71881,0.58172,0.89515,0.004456,0.004456,0.004456
170,9131.59,0.69038,0.35868,0.8623,0.8818,0.81364,0.85221,0.71301,0.71935,0.58061,0.89552,0.004423,0.004423,0.004423
171,9185.43,0.69704,0.36149,0.86212,0.88307,0.81512,0.85284,0.71311,0.7193,0.5827,0.89503,0.00439,0.00439,0.00439
172,9239.08,0.69543,0.36245,0.86391,0.87467,0.82157,0.85228,0.71286,0.71916,0.58303,0.89528,0.004357,0.004357,0.004357
173,9292.86,0.68865,0.35751,0.86131,0.87237,0.82438,0.85269,0.71424,0.71955,0.58106,0.89543,0.004324,0.004324,0.004324
174,9346.34,0.68653,0.35881,0.86348,0.87008,0.82414,0.85277,0.71453,0.72056,0.5817,0.89572,0.004291,0.004291,0.004291
175,9399.78,0.68932,0.35985,0.86319,0.8736,0.8199,0.85232,0.7134,0.72113,0.58199,0.89611,0.004258,0.004258,0.004258
176,9453.5,0.69743,0.36095,0.86376,0.86841,0.82665,0.85112,0.71338,0.7208,0.58219,0.89637,0.004225,0.004225,0.004225
177,9507,0.68716,0.35715,0.86135,0.87175,0.82933,0.85379,0.71497,0.71893,0.58143,0.89421,0.004192,0.004192,0.004192
178,9560.56,0.68489,0.35506,0.86118,0.8769,0.8226,0.85305,0.71466,0.71996,0.58268,0.89576,0.004159,0.004159,0.004159
179,9614,0.68965,0.35818,0.86189,0.87823,0.81864,0.85285,0.71404,0.72005,0.58266,0.89567,0.004126,0.004126,0.004126
180,9667.58,0.68112,0.35359,0.86025,0.87403,0.82778,0.85384,0.7148,0.71992,0.5812,0.89512,0.004093,0.004093,0.004093
181,9721.19,0.68962,0.35878,0.86184,0.87724,0.82352,0.85362,0.71484,0.72015,0.58209,0.89498,0.00406,0.00406,0.00406
182,9774.94,0.6895,0.35765,0.86229,0.88711,0.81112,0.8539,0.71439,0.72059,0.58219,0.89486,0.004027,0.004027,0.004027
183,9828.45,0.69194,0.35874,0.86252,0.88254,0.8168,0.85379,0.71483,0.72143,0.58297,0.89523,0.003994,0.003994,0.003994
184,9882.26,0.68265,0.35647,0.86245,0.87456,0.82238,0.8528,0.71482,0.72143,0.58368,0.89613,0.003961,0.003961,0.003961
185,9935.57,0.67083,0.34958,0.85964,0.87544,0.81918,0.85238,0.71461,0.72065,0.58425,0.89561,0.003928,0.003928,0.003928
186,9989.39,0.67474,0.34895,0.85743,0.87408,0.82087,0.8531,0.71396,0.72138,0.58542,0.89566,0.003895,0.003895,0.003895
187,10043,0.68662,0.35536,0.86074,0.8842,0.81119,0.85257,0.71314,0.72121,0.58506,0.8955,0.003862,0.003862,0.003862
188,10096.5,0.67482,0.35047,0.8567,0.87916,0.81445,0.85276,0.71312,0.72131,0.5859,0.89532,0.003829,0.003829,0.003829
