epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,3924.87,0.81263,0.5943,1.15898,0.93312,0.90388,0.93423,0.76642,0.73089,0.49262,1.2062,0.006799,0.006799,0.006799
99,3964.21,0.8026,0.58591,1.15085,0.93436,0.86239,0.92614,0.75752,0.72236,0.49353,1.20345,0.006766,0.006766,0.006766
100,4003.58,0.78732,0.57225,1.13952,0.93818,0.89822,0.93222,0.7731,0.70116,0.50252,1.18531,0.006733,0.006733,0.006733
101,4042.96,0.80845,0.59013,1.15737,0.92066,0.87076,0.91314,0.75159,0.71479,0.53992,1.20254,0.0067,0.0067,0.0067
102,4082.31,0.78605,0.57347,1.14485,0.93772,0.87076,0.92761,0.76474,0.71873,0.51371,1.20493,0.006667,0.006667,0.006667
103,4121.66,0.79062,0.58028,1.14369,0.92148,0.86265,0.91637,0.74871,0.741,0.55957,1.21245,0.006634,0.006634,0.006634
104,4161.01,0.78763,0.57379,1.13909,0.92378,0.87135,0.91954,0.75652,0.73952,0.53102,1.20865,0.006601,0.006601,0.006601
105,4200.36,0.797,0.57767,1.14896,0.92137,0.89916,0.92788,0.76648,0.71734,0.51127,1.19652,0.006568,0.006568,0.006568
106,4239.74,0.78012,0.57844,1.13176,0.92244,0.84542,0.91027,0.74936,0.72948,0.55719,1.21057,0.006535,0.006535,0.006535
107,4279.07,0.77774,0.56767,1.13698,0.91069,0.84249,0.90443,0.74375,0.74356,0.56346,1.22629,0.006502,0.006502,0.006502
108,4318.45,0.77338,0.57403,1.12999,0.91532,0.88182,0.92341,0.76326,0.72861,0.52528,1.20511,0.006469,0.006469,0.006469
109,4357.81,0.78112,0.57565,1.13652,0.93849,0.90065,0.93664,0.78246,0.70284,0.46946,1.20332,0.006436,0.006436,0.006436
110,4397.2,0.77434,0.56443,1.13077,0.91897,0.90388,0.92932,0.77064,0.71424,0.51312,1.21089,0.006403,0.006403,0.006403
111,4436.56,0.77809,0.56912,1.13865,0.92921,0.88853,0.92444,0.76478,0.72111,0.51719,1.20417,0.00637,0.00637,0.00637
112,4475.88,0.77044,0.55867,1.13202,0.91442,0.89338,0.93027,0.77239,0.71253,0.50689,1.1944,0.006337,0.006337,0.006337
113,4515.22,0.76887,0.5633,1.12804,0.93602,0.88449,0.93526,0.77934,0.70268,0.50064,1.18616,0.006304,0.006304,0.006304
114,4554.63,0.7705,0.55966,1.1315,0.92792,0.90792,0.93792,0.78653,0.70401,0.49509,1.19458,0.006271,0.006271,0.006271
115,4594.02,0.75984,0.54891,1.12982,0.93545,0.88965,0.92789,0.77428,0.71391,0.49942,1.19446,0.006238,0.006238,0.006238
116,4633.34,0.75301,0.54855,1.12258,0.93693,0.85218,0.91698,0.75733,0.73022,0.53589,1.2031,0.006205,0.006205,0.006205
117,4672.7,0.76929,0.57888,1.13364,0.93123,0.86349,0.91884,0.76542,0.71354,0.54303,1.21091,0.006172,0.006172,0.006172
118,4712.05,0.75623,0.5407,1.12105,0.91272,0.85319,0.91169,0.74985,0.74544,0.55203,1.22273,0.006139,0.006139,0.006139
119,4751.42,0.76268,0.53921,1.12522,0.92025,0.84733,0.90622,0.74916,0.72511,0.57935,1.21305,0.006106,0.006106,0.006106
120,4790.8,0.75514,0.5515,1.12891,0.92441,0.88901,0.92881,0.76678,0.72807,0.49721,1.20087,0.006073,0.006073,0.006073
